link,title,description
http://arxiv.org/abs/1903.11665,Microservice Transition and its Granularity Problem: A Systematic Mapping Study. (arXiv:1903.11665v1 [cs.SE]),"<p>Microservices have gained wide recognition and acceptance in software
industries as an emerging architectural style for autonomic, scalable, and more
reliable computing. The transition to microservices has been highly motivated
by the need for better alignment of technical design decisions with improving
value potentials of architectures. Despite microservices' popularity, research
still lacks disciplined understanding of transition and consensus on the
principles and activities underlying ""micro-ing"" architectures. In this paper,
we report on a systematic mapping study that consolidates various views,
approaches and activities that commonly assist in the transition to
microservices. The study aims to provide a better understanding of the
transition; it also contributes a working definition of the transition and
technical activities underlying it. We term the transition and technical
activities leading to microservice architectures as microservitization. We then
shed light on a fundamental problem of microservitization: microservice
granularity and reasoning about its adaptation as first-class entities. This
study reviews state-of-the-art and -practice related to reasoning about
microservice granularity; it reviews modelling approaches, aspects considered,
guidelines and processes used to reason about microservice granularity. This
study identifies opportunities for future research and development related to
reasoning about microservice granularity.
</p>
"
http://arxiv.org/abs/1903.11670,The minimum value of the Colless index. (arXiv:1903.11670v1 [q-bio.PE]),"<p>The Colless index is one of the oldest and most widely used balance indices
for rooted bifurcating trees. Despite its popularity, its minimum value on the
space $\mathcal{T}_n$ of rooted bifurcating trees with $n$ leaves is only known
when $n$ is a power of 2. In this paper we fill this gap in the literature, by
providing a formula that computes, for each $n$, the minimum Colless index on
$\mathcal{T}_n$, and characterizing those trees where this minimum value is
reached.
</p>
"
http://arxiv.org/abs/1903.11672,MuSE-ing on the Impact of Utterance Ordering On Crowdsourced Emotion Annotations. (arXiv:1903.11672v1 [cs.SD]),"<p>Emotion recognition algorithms rely on data annotated with high quality
labels. However, emotion expression and perception are inherently subjective.
There is generally not a single annotation that can be unambiguously declared
""correct"". As a result, annotations are colored by the manner in which they
were collected. In this paper, we conduct crowdsourcing experiments to
investigate this impact on both the annotations themselves and on the
performance of these algorithms. We focus on one critical question: the effect
of context. We present a new emotion dataset, Multimodal Stressed Emotion
(MuSE), and annotate the dataset using two conditions: randomized, in which
annotators are presented with clips in random order, and contextualized, in
which annotators are presented with clips in order. We find that contextual
labeling schemes result in annotations that are more similar to a speaker's own
self-reported labels and that labels generated from randomized schemes are most
easily predictable by automated systems.
</p>
"
http://arxiv.org/abs/1903.11673,Adversarial Deep Learning in EEG Biometrics. (arXiv:1903.11673v1 [cs.LG]),"<p>Deep learning methods for person identification based on
electroencephalographic (EEG) brain activity encounters the problem of
exploiting the temporally correlated structures or recording session specific
variability within EEG. Furthermore, recent methods have mostly trained and
evaluated based on single session EEG data. We address this problem from an
invariant representation learning perspective. We propose an adversarial
inference approach to extend such deep learning models to learn
session-invariant person-discriminative representations that can provide
robustness in terms of longitudinal usability. Using adversarial learning
within a deep convolutional network, we empirically assess and show
improvements with our approach based on longitudinally collected EEG data for
person identification from half-second EEG epochs.
</p>
"
http://arxiv.org/abs/1903.11674,On Inversely Proportional Hypermutations with Mutation Potential. (arXiv:1903.11674v1 [cs.NE]),"<p>Artificial Immune Systems (AIS) employing hypermutations with linear static
mutation potential have recently been shown to be very effective at escaping
local optima of combinatorial optimisation problems at the expense of being
slower during the exploitation phase compared to standard evolutionary
algorithms. In this paper we prove that considerable speed-ups in the
exploitation phase may be achieved with dynamic inversely proportional mutation
potentials (IPM) and argue that the potential should decrease inversely to the
distance to the optimum rather than to the difference in fitness. Afterwards we
define a simple (1+1)~Opt-IA, that uses IPM hypermutations and ageing, for
realistic applications where optimal solutions are unknown. The aim of the AIS
is to approximate the ideal behaviour of the inversely proportional
hypermutations better and better as the search space is explored. We prove that
such desired behaviour, and related speed-ups, occur for a well-studied bimodal
benchmark function called \textsc{TwoMax}. Furthermore, we prove that the
(1+1)~Opt-IA with IPM efficiently optimises a third bimodal function,
\textsc{Cliff}, by escaping its local optima while Opt-IA with static potential
cannot, thus requires exponential expected runtime in the distance between the
cliff and the optimum.
</p>
"
http://arxiv.org/abs/1903.11677,Exact Byzantine Consensus on Undirected Graphs under Local Broadcast Model. (arXiv:1903.11677v1 [cs.DC]),"<p>This paper considers the Byzantine consensus problem for nodes with binary
inputs. The nodes are interconnected by a network represented as an undirected
graph, and the system is assumed to be synchronous. Under the classical
point-to-point communication model, it is well-known [7] that the following two
conditions are both necessary and sufficient to achieve Byzantine consensus
among $n$ nodes in the presence of up to $f$ Byzantine faulty nodes: $n \ge
3f+1$ and vertex connectivity at least $2f+1$. In the classical point-to-point
communication model, it is possible for a faulty node to equivocate, i.e.,
transmit conflicting information to different neighbors. Such equivocation is
possible because messages sent by a node to one of its neighbors are not
overheard by other neighbors.
</p>
<p>This paper considers the local broadcast model. In contrast to the
point-to-point communication model, in the local broadcast model, messages sent
by a node are received identically by all of its neighbors. Thus, under the
local broadcast model, attempts by a node to send conflicting information can
be detected by its neighbors. Under this model, we show that the following two
conditions are both necessary and sufficient for Byzantine consensus: vertex
connectivity at least $\lfloor 3f/2 \rfloor + 1$ and minimum node degree at
least $2f$. Observe that the local broadcast model results in a lower
requirement for connectivity and the number of nodes $n$, as compared to the
point-to-point communication model.
</p>
<p>We extend the above results to a hybrid model that allows some of the
Byzantine faulty nodes to equivocate. The hybrid model bridges the gap between
the point-to-point and local broadcast models, and helps to precisely
characterize the trade-off between equivocation and network requirements.
</p>
"
http://arxiv.org/abs/1903.11678,Tree Search vs Optimization Approaches for Map Generation. (arXiv:1903.11678v1 [cs.AI]),"<p>Search-based procedural content generation uses stochastic global
optimization algorithms to search spaces of game content. However, it has been
found that tree search can be competitive with evolution on certain
optimization problems. We investigate the applicability of several tree search
methods to map generation and compare them systematically with several
optimization algorithms, including evolutionary algorithms. For purposes of
comparison, we use a simplified map generation problem where only passable and
impassable tiles exist, three different map representations, and a set of
objectives that are representative of those commonly found in actual level
generation problem. While the results suggest that evolutionary algorithms
produce good maps faster, several tree search methods can perform very well
given sufficient time, and there are interesting differences in the character
of the generated maps depending on the algorithm chosen, even for the same
representation and objective.
</p>
"
http://arxiv.org/abs/1903.11680,Gradient Descent with Early Stopping is Provably Robust to Label Noise for Overparameterized Neural Networks. (arXiv:1903.11680v1 [cs.LG]),"<p>Modern neural networks are typically trained in an over-parameterized regime
where the parameters of the model far exceed the size of the training data. Due
to over-parameterization these neural networks in principle have the capacity
to (over)fit any set of labels including pure noise. Despite this high fitting
capacity, somewhat paradoxically, neural network models trained via first-order
methods continue to predict well on yet unseen test data. In this paper we take
a step towards demystifying this phenomena. In particular we show that first
order methods such as gradient descent are provably robust to noise/corruption
on a constant fraction of the labels despite over-parametrization under a rich
dataset model. In particular: i) First, we show that in the first few
iterations where the updates are still in the vicinity of the initialization
these algorithms only fit to the correct labels essentially ignoring the noisy
labels. ii) Secondly, we prove that to start to overfit to the noisy labels
these algorithms must stray rather far from from the initial model which can
only occur after many more iterations. Together, these show that gradient
descent with early stopping is provably robust to label noise and shed light on
empirical robustness of deep networks as well as commonly adopted heuristics to
prevent overfitting.
</p>
"
http://arxiv.org/abs/1903.11682,From closed to open access: A case study of flipped journals. (arXiv:1903.11682v1 [cs.DL]),"<p>In recent years, increased stakeholder pressure to transition research to
Open Access has led to many journals ""flipping"" from a toll access to an open
access publishing model. Changing the publishing model can influence the
decision of authors to submit their papers to a journal, and increased article
accessibility may influence citation behaviour. The aim of this paper is to
show changes in the number of published articles and citations after the
flipping of a journal. We analysed a set of 171 journals in the Web of Science
(WoS) which flipped to open access. In addition to comparing the number of
articles, average relative citation (ARC) and normalized impact factor (IF) are
applied, respectively, as bibliometric indicators at the article and journal
level, to trace the transformation of flipped journals covered. Our results
show that flipping mostly has had positive effects on journal's IF. But it has
had no obvious citation advantage for the articles. We also see a decline in
the number of published articles after flipping. We can conclude that flipping
to open access can improve the performance of journals, despite decreasing the
tendency of authors to submit their articles and no better citation advantages
for articles.
</p>
"
http://arxiv.org/abs/1903.11683,"Outlier-Robust Spatial Perception: Hardness, General-Purpose Algorithms, and Guarantees. (arXiv:1903.11683v1 [stat.ML])","<p>Spatial perception is the backbone of many robotics applications, and spans a
broad range of research problems, including localization and mapping, point
cloud alignment, and relative pose estimation from camera images. Robust
spatial perception is jeopardized by the presence of incorrect data
association, and in general, outliers. Although techniques to handle outliers
do exist, they can fail in unpredictable manners (e.g., RANSAC, robust
estimators), or can have exponential runtime (e.g., branch-and-bound). In this
paper, we advance the state of the art in outlier rejection by making three
contributions. First, we show that even a simple linear instance of outlier
rejection is inapproximable: in the worst-case one cannot design a
quasi-polynomial time algorithm that computes an approximate solution
efficiently. Our second contribution is to provide the first per-instance
sub-optimality bounds to assess the approximation quality of a given outlier
rejection outcome. Our third contribution is to propose a simple
general-purpose algorithm, named adaptive trimming, to remove outliers. Our
algorithm leverages recently-proposed global solvers that are able to solve
outlier-free problems, and iteratively removes measurements with large errors.
We demonstrate the proposed algorithm on three spatial perception problems: 3D
registration, two-view geometry, and SLAM. The results show that our algorithm
outperforms several state-of-the-art methods across applications while being a
general-purpose method.
</p>
"
http://arxiv.org/abs/1903.11688,Rallying Adversarial Techniques against Deep Learning for Network Security. (arXiv:1903.11688v1 [cs.CR]),"<p>Recent advances in artificial intelligence and the increasing need for
powerful defensive measures in the domain of network security, have led to the
adoption of deep learning approaches for use in network intrusion detection
systems. These methods have achieved superior performance against conventional
network attacks, which enable the deployment of practical security systems to
unique and dynamic sectors. Adversarial machine learning, unfortunately, has
recently shown that deep learning models are inherently vulnerable to
adversarial modifications on their input data. Because of this susceptibility,
the deep learning models deployed to power a network defense could in fact be
the weakest entry point for compromising a network system. In this paper, we
show that by modifying on average as little as 1.38 of the input features, an
adversary can generate malicious inputs which effectively fool a deep learning
based NIDS. Therefore, when designing such systems, it is crucial to consider
the performance from not only the conventional network security perspective but
also the adversarial machine learning domain.
</p>
"
http://arxiv.org/abs/1903.11690,Optimization of Inf-Convolution Regularized Nonconvex Composite Problems. (arXiv:1903.11690v1 [math.OC]),"<p>In this work, we consider nonconvex composite problems that involve
inf-convolution with a Legendre function, which gives rise to an anisotropic
generalization of the proximal mapping and Moreau-envelope. In a convex setting
such problems can be solved via alternating minimization of a splitting
formulation, where the consensus constraint is penalized with a Legendre
function. In contrast, for nonconvex models it is in general unclear that this
approach yields stationary points to the infimal convolution problem. To this
end we analytically investigate local regularity properties of the
Moreau-envelope function under prox-regularity, which allows us to establish
the equivalence between stationary points of the splitting model and the
original inf-convolution model. We apply our theory to characterize stationary
points of the penalty objective, which is minimized by the elastic averaging
SGD (EASGD) method for distributed training. Numerically, we demonstrate the
practical relevance of the proposed approach on the important task of
distributed training of deep neural networks.
</p>
"
http://arxiv.org/abs/1903.11691,Echo State Networks with Self-Normalizing Activations on the Hyper-Sphere. (arXiv:1903.11691v1 [cs.NE]),"<p>Among the various architectures of Recurrent Neural Networks, Echo State
Networks (ESNs) emerged due to their simplified and inexpensive training
procedure. These networks are known to be sensitive to the setting of
hyper-parameters, which critically affect their behaviour. Results show that
their performance is usually maximized in a narrow region of hyper-parameter
space called edge of chaos. Finding such a region requires searching in
hyper-parameter space in a sensible way: hyper-parameter configurations
marginally outside such a region might yield networks exhibiting fully
developed chaos, hence producing unreliable computations. The performance gain
due to optimizing hyper-parameters can be studied by considering the
memory--nonlinearity trade-off, i.e., the fact that increasing the nonlinear
behavior of the network degrades its ability to remember past inputs, and
vice-versa. In this paper, we propose a model of ESNs that eliminates critical
dependence on hyper-parameters, resulting in networks that provably cannot
enter a chaotic regime and, at the same time, denotes nonlinear behaviour in
phase space characterised by a large memory of past inputs, comparable to the
one of linear networks. Our contribution is supported by experiments
corroborating our theoretical findings, showing that the proposed model
displays dynamics that are rich-enough to approximate many common nonlinear
systems used for benchmarking.
</p>
"
http://arxiv.org/abs/1903.11693,Highly cited references in PLOS ONE and their in-text usage over time. (arXiv:1903.11693v1 [cs.DL]),"<p>In this article, we describe highly cited publications in a PLOS ONE
full-text corpus. For these publications, we analyse the citation contexts
concerning their position in the text and their age at the time of citing. By
selecting the perspective of highly cited papers, we can distinguish them based
on the context during citation even if we do not have any other information
source or metrics. We describe the top cited references based on how, when and
in which context they are cited. The focus of this study is on a time
perspective to explain the nature of the reception of highly cited papers. We
have found that these references are distinguishable by the IMRaD sections of
their citation. And further, we can show that the section usage of highly cited
papers is time-dependent. The longer the citation interval, the higher the
probability that a reference is cited in a method section.
</p>
"
http://arxiv.org/abs/1903.11694,"Studying the Impact of Power Capping on MapReduce-based, Data-intensive Mini-applications on Intel KNL and KNM Architectures. (arXiv:1903.11694v1 [cs.DC])","<p>In this poster, we quantitatively measure the impacts of data movement on
performance in MapReduce-based applications when executed on HPC systems. We
leverage the PAPI 'powercap' component to identify ideal conditions for
execution of our applications in terms of (1) dataset characteristics (i.e.,
unique words); (2) HPC system (i.e., KNL and KNM); and (3) implementation of
the MapReduce programming model (i.e., with or without combiner optimizations).
Results confirm the high energy and runtime costs of data movement, and the
benefits of the combiner optimization on these costs.
</p>
"
http://arxiv.org/abs/1903.11696,Stable prediction with radiomics data. (arXiv:1903.11696v1 [stat.ML]),"<p>Motivation: Radiomics refers to the high-throughput mining of quantitative
features from radiographic images. It is a promising field in that it may
provide a non-invasive solution for screening and classification. Standard
machine learning classification and feature selection techniques, however, tend
to display inferior performance in terms of (the stability of) predictive
performance. This is due to the heavy multicollinearity present in radiomic
data. We set out to provide an easy-to-use approach that deals with this
problem.
</p>
<p>Results: We developed a four-step approach that projects the original
high-dimensional feature space onto a lower-dimensional latent-feature space,
while retaining most of the covariation in the data. It consists of (i)
penalized maximum likelihood estimation of a redundancy filtered correlation
matrix. The resulting matrix (ii) is the input for a maximum likelihood factor
analysis procedure. This two-stage maximum-likelihood approach can be used to
(iii) produce a compact set of stable features that (iv) can be directly used
in any (regression-based) classifier or predictor. It outperforms other
classification (and feature selection) techniques in both external and internal
validation settings regarding survival in squamous cell cancers.
</p>
"
http://arxiv.org/abs/1903.11700,A Conceptual Framework for Assessing Anonymization-Utility Trade-Offs Based on Principal Component Analysis. (arXiv:1903.11700v1 [cs.CR]),"<p>An anonymization technique for databases is proposed that employs Principal
Component Analysis. The technique aims at releasing the least possible amount
of information, while preserving the utility of the data released in response
to queries. The general scheme is described, and alternative metrics are
proposed to assess utility, based respectively on matrix norms; correlation
coefficients; divergence measures, and quality indices of database images. This
approach allows to properly measure the utility of output data and incorporate
that measure in the anonymization method.
</p>
"
http://arxiv.org/abs/1903.11701,"Zero-shot Image Recognition Using Relational Matching, Adaptation and Calibration. (arXiv:1903.11701v1 [cs.CV])","<p>Zero-shot learning (ZSL) for image classification focuses on recognizing
novel categories that have no labeled data available for training. The learning
is generally carried out with the help of mid-level semantic descriptors
associated with each class. This semantic-descriptor space is generally shared
by both seen and unseen categories. However, ZSL suffers from hubness, domain
discrepancy and biased-ness towards seen classes. To tackle these problems, we
propose a three-step approach to zero-shot learning. Firstly, a mapping is
learned from the semantic-descriptor space to the image-feature space. This
mapping learns to minimize both one-to-one and pairwise distances between
semantic embeddings and the image features of the corresponding classes.
Secondly, we propose test-time domain adaptation to adapt the semantic
embedding of the unseen classes to the test data. This is achieved by finding
correspondences between the semantic descriptors and the image features.
Thirdly, we propose scaled calibration on the classification scores of the seen
classes. This is necessary because the ZSL model is biased towards seen classes
as the unseen classes are not used in the training. Finally, to validate the
proposed three-step approach, we performed experiments on four benchmark
datasets where the proposed method outperformed previous results. We also
studied and analyzed the performance of each component of our proposed ZSL
framework.
</p>
"
http://arxiv.org/abs/1903.11702,Efficient Nonlinear Fourier Transform Algorithms of Order Four on Equispaced Grid. (arXiv:1903.11702v1 [cs.NA]),"<p>We explore two classes of exponential integrators in this letter to design
nonlinear Fourier transform (NFT) algorithms with a desired accuracy-complexity
trade-off and a convergence order of $4$ on an equispaced grid. The integrating
factor based method in the class of Runge-Kutta methods yield algorithms with
complexity $O(N\log^2N)$ (where $N$ is the number of samples of the signal)
which have superior accuracy-complexity trade-off than any of the fast methods
known currently. The integrators based on Magnus series expansion, namely,
standard and commutator-free Magnus methods yield algorithms of complexity
$O(N^2)$ that have superior error behavior even for moderately small step-sizes
and higher signal strengths.
</p>
"
http://arxiv.org/abs/1903.11703,Recurrent Neural Networks For Accurate RSSI Indoor Localization. (arXiv:1903.11703v1 [eess.SP]),"<p>This paper proposes recurrent neuron networks (RNNs) for a fingerprinting
indoor localization using WiFi. Instead of locating user's position one at a
time as in the cases of conventional algorithms, our RNN solution aims at
trajectory positioning and takes into account the relation among the received
signal strength indicator (RSSI) measurements in a trajectory. Furthermore, a
weighted average filter is proposed for both input RSSI data and sequential
output locations to enhance the accuracy among the temporal fluctuations of
RSSI. The results using different types of RNN including vanilla RNN, long
short-term memory (LSTM), gated recurrent unit (GRU) and bidirectional LSTM
(BiLSTM) are presented. On-site experiments demonstrate that the proposed
structure achieves an average localization error of $0.75$ m with $80\%$ of the
errors under $1$ m, which outperforms the conventional KNN algorithms and
probabilistic algorithms by approximately $30\%$ under the same test
environment.
</p>
"
http://arxiv.org/abs/1903.11712,A Multi Hidden Recurrent Neural Network with a Modified Grey Wolf Optimizer. (arXiv:1903.11712v1 [cs.NE]),"<p>Identifying university students' weaknesses results in better learning and
can function as an early warning system to enable students to improve. However,
the satisfaction level of existing systems is not promising. New and dynamic
hybrid systems are needed to imitate this mechanism. A hybrid system (a
modified Recurrent Neural Network with an adapted Grey Wolf Optimizer) is used
to forecast students' outcomes. This proposed system would improve instruction
by the faculty and enhance the students' learning experiences. The results show
that a modified recurrent neural network with an adapted Grey Wolf Optimizer
has the best accuracy when compared with other models.
</p>
"
http://arxiv.org/abs/1903.11714,High Performance Monte Carlo Simulation of Ising Model on TPU Clusters. (arXiv:1903.11714v1 [cs.DC]),"<p>Large scale deep neural networks profited from an emerging class of AI
accelerators. Although the accelerators are specialized for machine learning,
some of their designs are general enough for other computing intensive
applications. Cloud TPU, as one of them, offers tremendous computing resources
and is easily accessible through TensorFlow by expressing the computation in a
graph. In this paper, we leverage this powerful hardware combined with the
expressiveness of TensorFlow to simulate the Ising model on a $2$-dimensional
lattice. We modify the computationally intensive part of the checkerboard
algorithm into matrix operations to exploit Cloud TPU's highly efficient matrix
unit. In our experiments, we demonstrate that our implementation outperforms
the best published benchmarks to our knowledge by 60% in single core and 250%
in multiple cores with linear scaling. We also show the performance improvement
of using low precision arithmetic---bfloat16 instead of float32---without
sacrificing any accuracy.
</p>
"
